speciesId,speciesName,score,attack,defense,hp,statProduct,fastMove,chargedMove1,chargedMove2
quagsire,Quagsire,93.5,111.2,112.6,161,2018,MUD_SHOT,AQUA_TAIL,STONE_EDGE
quagsire_shadow,Quagsire (Shadow),93.5,111.2,112.6,161,2018,MUD_SHOT,AQUA_TAIL,STONE_EDGE
tinkaton,Tinkaton,93.2,106.2,140.9,141,2110,FAIRY_WIND,GIGATON_HAMMER,BULLDOZE
corviknight,Corviknight,92.7,106.9,130.6,150,2097,SAND_ATTACK,AIR_CUTTER,PAYBACK
jellicent,Jellicent,92.5,106.6,126.3,156,2102,HEX,SURF,SHADOW_BALL
wigglytuff,Wigglytuff,92.2,115.1,75.5,223,1939,CHARM,ICY_WIND,SWIFT
empoleon,Empoleon,92.1,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK
forretress,Forretress,92,109.7,145.4,128,2044,VOLT_SWITCH,SAND_TOMB,ROCK_TOMB
altaria,Altaria,91.9,103.4,151.9,138,2168,DRAGON_BREATH,SKY_ATTACK,FLAMETHROWER
altaria_shadow,Altaria (Shadow),91.7,103.4,151.9,138,2168,DRAGON_BREATH,SKY_ATTACK,FLAMETHROWER
azumarill,Azumarill,91.7,93.4,134.4,191,2400,BUBBLE,ICE_BEAM,PLAY_ROUGH
forretress_shadow,Forretress (Shadow),91.7,109.7,145.4,128,2044,VOLT_SWITCH,SAND_TOMB,ROCK_TOMB
empoleon_shadow,Empoleon (Shadow),91.6,125.1,117,122,1788,METAL_SOUND,HYDRO_CANNON,DRILL_PECK
feraligatr,Feraligatr,90.9,123.8,117.3,125,1818,SHADOW_CLAW,HYDRO_CANNON,ICE_BEAM
lickilicky,Lickilicky,90.7,105.7,125.5,160,2124,ROLLOUT,BODY_SLAM,SHADOW_BALL
medicham,Medicham,90.7,106.9,139.4,141,2103,PSYCHO_CUT,ICE_PUNCH,DYNAMIC_PUNCH
corsola_galarian,Corsola (Galarian),90.6,99.3,163,139,2252,ASTONISH,NIGHT_SHADE,POWER_GEM
talonflame,Talonflame,90.5,121.4,112.6,135,1847,INCINERATE,FLY,BRAVE_BIRD
lapras,Lapras,90.4,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM
sealeo,Sealeo,90.3,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM
malamar,Malamar,90.2,117.2,116.5,139,1899,PSYWAVE,SUPER_POWER,FOUL_PLAY
clodsire,Clodsire,90.1,95,119.7,208,2367,POISON_STING,EARTHQUAKE,STONE_EDGE
dusclops,Dusclops,90.1,102.4,197.6,108,2187,HEX,ICE_PUNCH,SHADOW_PUNCH
sealeo_shadow,Sealeo (Shadow),90.1,108.9,112.8,168,2065,POWDER_SNOW,SURF,BODY_SLAM
clefable,Clefable,90,116.5,112.1,147,1922,FAIRY_WIND,MOONBLAST,METEOR_MASH
drapion_shadow,Drapion (Shadow),90,117.8,136.8,118,1903,POISON_STING,CRUNCH,AQUA_TAIL
stunfisk,Stunfisk,90,101.4,126.6,172,2212,THUNDER_SHOCK,MUD_BOMB,DISCHARGE
annihilape,Annihilape,89.8,123.3,105.2,140,1817,LOW_KICK,RAGE_FIST,CLOSE_COMBAT
blastoise,Blastoise,89.8,112.1,137.7,130,2008,ROLLOUT,HYDRO_CANNON,SKULL_BASH
dusclops_shadow,Dusclops (Shadow),89.8,102.4,197.6,108,2187,HEX,ICE_PUNCH,SHADOW_PUNCH
florges,Florges,89.8,120,141.5,110,1870,FAIRY_WIND,CHILLING_WATER,DISARMING_VOICE
cradily,Cradily,89.7,105.2,140.3,144,2126,ACID,ROCK_TOMB,GRASS_KNOT
politoed_shadow,Politoed (Shadow),89.7,114,124.2,139,1970,MUD_SHOT,WEATHER_BALL_WATER,ICE_BEAM
talonflame_shadow,Talonflame (Shadow),89.7,121.4,112.6,135,1847,INCINERATE,FLAME_CHARGE,FLY
charjabug,Charjabug,89.6,114.7,134.8,126,1949,VOLT_SWITCH,X_SCISSOR,DISCHARGE
greedent,Greedent,89.6,106.8,110.7,177,2094,MUD_SHOT,BODY_SLAM,TRAILBLAZE
lapras_shadow,Lapras (Shadow),89.6,104.6,114.5,179,2147,PSYWAVE,SPARKLING_ARIA,ICE_BEAM
dusknoir_shadow,Dusknoir (Shadow),89.5,119.8,174.1,90,1878,ASTONISH,DYNAMIC_PUNCH,SHADOW_PUNCH
furret,Furret,89.5,115.3,105.4,160,1946,SUCKER_PUNCH,SWIFT,TRAILBLAZE
sableye,Sableye,89.5,119.6,124.6,125,1864,SHADOW_CLAW,FOUL_PLAY,POWER_GEM
steelix_shadow,Steelix (Shadow),89.5,98.4,183.2,126,2273,THUNDER_FANG,PSYCHIC_FANGS,CRUNCH
sableye_shadow,Sableye (Shadow),89.4,119.6,124.6,125,1864,SHADOW_CLAW,FOUL_PLAY,POWER_GEM
feraligatr_shadow,Feraligatr (Shadow),89.3,123.8,117.3,125,1818,SHADOW_CLAW,HYDRO_CANNON,ICE_BEAM
gastrodon,Gastrodon,89.3,113.2,103.4,168,1967,MUD_SLAP,BODY_SLAM,WATER_PULSE
dondozo,Dondozo,89.2,105.7,106.9,187,2114,WATERFALL,SURF,OUTRAGE
guzzlord,Guzzlord,89.2,113.2,66,265,1983,DRAGON_TAIL,BRUTAL_SWING,SLUDGE_BOMB
